// Adapted from:
// http://wiki.uqm.stack.nl/List_of_planets
// and
// http://wiki.uqm.stack.nl/script/images/9/9c/PlanetDatabase.zip
//
// Data compiled by Scott A. Colcord (Elestan on http://forum.uqm.stack.nl)
// and published 2011/06/29.
//
// The order of starsystems in this document
// appears to match that in plandata.c.
//
// 0, 	1,   2,3,4,      5,        6,       7,    8,     9,   10,    11,       12,     13,     14,       15,      16,      17,       18,  19,       20,     21,    22,     23,  24, 25,        26,        27
Cluster,Star,X,Y,DistSol,StarColor,StarSize,Fleet,Planet,Type,Hazard,Tectonics,Weather,Thermal,BioHazard,BioUnits,MinValue,MinVolume,Fuel,AxialTilt,Density,Radius,Gravity,Temp,Day,Atmosphere,LifeChance,DistFromStar
Serpentis,Zeta,500.7,003.5,354.9,green,dwarf,Yehat,I,Acid,4,3,3,2,1,0,165,165,0.6,-2,104,27,28,78,230,15,610,536
,,,,,,,,II,Cyanic,1,1,1,1,,,56,56,0.2,-20,34,31,10,-88,238,0,-740,1657
,,,,,,,,III,Gas Giant,8,,8,,,,0,0,3.0,-11,20,972,194,-126,142,65535,-1,2596
,,,,,,,,III-a,Radioactive,2,2,1,,,,752,94,1.3,-13,193,35,67,,29332,0,-740,
,,,,,,,,III-b,Opalescent,3,3,,,,,191,65,0.4,22,60,,21,,269,,,
,,,,,,,,III-c,Cyanic,,,,,,,31,31,0.2,-16,34,,11,,183,,,
,,,,,,,,III-d,Purple,5,5,,,,,0,0,0.4,-1,62,36,22,,291,,,
,,,,,,,,IV,Gas Giant,8,2,8,,,,,,3.0,-11,21,917,192,-150,110,65535,-1,3759
,,,,,,,,IV-a,Halide,1,1,1,,,,208,104,0.4,8,63,29,18,,261,0,-740,
,,,,,,,,IV-b,Quasi-Degenerate,4,4,,,,,700,28,1.1,-4,152,36,54,,214,,,
,,,,,,,,IV-c,Noble,3,3,,,,,196,55,0.2,18,32,28,8,,244,,,
,,,,,,,,V,Magnetic,8,8,,,,,72,24,3.0,13,150,103,154,-159,21547,,-940,4335
Giclas,Eta,070.8,004.1,175.3,white,,Pkunk,I,Alkali,2,2,2,,,,246,82,0.5,11,97,26,25,-72,156,10,360,3145
,,,,,,,,II,Auric,,,,,,,1434,239,1.1,-17,148,37,54,-90,178,11,,3771
,,,,,,,,III,Xenolithic,3,3,,,,,336,104,2.3,17,105,109,114,-102,264,12,,4350
,,,,,,,,III-a,Halide,1,1,1,,,,418,71,0.4,5,59,34,20,,289,0,-740,
,,,,,,,,IV,Emerald,,,,,,,1550,62,1.1,36,,90,53,-132,180,,,6392
,,,,,,,,V,Urea,6,5,2,,6,37,39,39,0.3,4,62,26,16,-136,208,100,410,6762
,,,,,,,,VI,Selenic,2,2,1,,1,0,213,71,,16,60,28,,-143,153,0,-740,7443
Serpentis,,471.4,007.8,326.4,green,,Yehat,I,,,,,,,,159,53,0.4,-17,63,35,22,-62,266,,,1263
Deneb,Prime,218.7,008.3,143.4,orange,,None,,Chlorine,5,5,,,,,99,,1.5,21,98,77,75,-52,275,,,293
,,,,,,,,II,Carbide,2,2,,,,,118,118,0.7,-10,96,35,33,-194,266,,-940,2270
,,,,,,,,III,Super-Dense,5,5,2,,,,135,45,1.0,18,193,27,52,-226,195,108,210,6263
,,,,,,,,IV,Gas Giant,8,3,8,,,,0,0,3.0,-3,21,832,174,-231,86,65535,-1,7753
Gorno,Beta,281.4,008.9,172.6,,,,I,Pellucid,2,2,1,,,,,,0.4,21,60,32,19,-121,230,0,-740,616
,,,,,,,,II,Green,7,6,3,,7,90,600,120,0.7,0,102,35,35,-215,158,100,210,4104
,,,,,,,,III,Gas Giant,8,2,8,,1,0,0,0,3.0,-35,21,1388,291,-229,137,65535,-1,7105
,,,,,,,,III-a,Urea,7,7,2,,5,82,31,31,0.3,17,60,25,15,,264,85,360,
,,,,,,,,III-b,,6,6,,,1,0,33,33,,9,62,29,17,,233,84,,
Capella,Prime,424.4,009.1,283.8,blue,,Yehat,I,Oolite,7,3,7,3,,,1018,187,1.0,-26,155,33,51,119,289,3068,310,1179
,,,,,,,,II,Noble,1,1,1,1,,,230,74,0.2,10,34,27,9,-141,184,0,-740,5017
Pollux,,565.2,009.8,412.7,white,,,I,Selenic,3,3,,,,,120,40,0.4,-15,61,36,21,-79,195,,,3386
,,,,,,,,II,Cyanic,,,,,,,24,24,0.2,2,33,26,8,-120,242,,,5381
Gorno,Gamma,293.9,011.6,178.5,orange,,None,I,Azure,5,5,2,,,,114,38,0.4,25,63,30,18,-182,246,13,160,1710
,,,,,,,,II,Gas Giant,8,1,8,,,,0,0,3.0,-13,20,821,164,-201,136,65535,-1,2721
,,,,,,,,II-a,Crimson,3,,3,,,,199,72,0.7,0,99,36,35,,278,85,360,
,,,,,,,,III,Copper,,3,2,,,,624,208,0.9,20,157,29,45,-212,270,11,160,3718
,,,,,,,,IV,Chlorine,7,7,1,,,,306,150,1.6,28,100,82,82,-223,217,0,-940,5614
,,,,,,,,IV-a,Acid,4,4,,,,,175,175,0.6,-4,105,28,29,,230,,,
,,,,,,,,V,Green,5,5,2,,,,330,66,0.7,14,104,35,36,-227,193,78,360,6478
,Alpha,277.1,014.6,165.4,blue,,,I,Copper,,2,3,2,5,114,366,122,1.0,3,154,33,50,66,201,105,560,1076
,,,,,,,,II,Oolite,3,,,1,1,0,832,149,,-17,152,34,51,-78,181,76,,2329
,,,,,,,,III,Fluorescent,,3,1,,,,557,127,3.0,11,157,110,172,-103,249,0,-740,3041
,,,,,,,,IV,Xenolithic,4,4,2,,,,300,91,2.1,-22,98,106,103,-117,189,12,360,3638
,,,,,,,,V,Carbide,2,2,1,,,,159,159,0.6,-13,103,31,31,-131,229,0,-740,4374
,,,,,,,,VI,Gas Giant,8,3,8,,,,0,0,3.0,9,21,867,182,-145,139,65535,-1,5382
,,,,,,,,VI-a,Oolite,4,4,3,,2,89,554,108,0.9,-26,146,32,46,,184,89,560,
,,,,,,,,VI-b,Acid,2,2,1,,1,0,215,215,0.6,23,97,34,32,,22980,0,-740,
,,,,,,,,VII,Halide,,,,,,,276,138,0.4,-23,62,35,21,-160,283,,-940,6927
,,,,,,,,VIII,Auric,3,3,,,,,792,132,1.1,29,154,,53,-164,175,13,160,7376
