name=Araknoid
contentTextStringName=Conversation-Araknoid
imagePortraitName=Conversation-Portrait-Araknoid
soundMusicName=Music_Faction_EarthStation // todo

|VariablesImport|u.world.player.variableLookup

|Display|#(SEND_MESSAGE)
#(where_you_come_from)|Option|#(where_you_come_from)|#(CAME_FROM)
|Prompt

#(CAME_FROM)|Display|#(CAME_FROM)
|OptionsClear
#(it_will_be_a_pleasure)|Option|#(it_will_be_a_pleasure)|#(WHO_BLASTS_WHO)
#(surrender)|Option|#(surrender)|#(NO_SURRENDER)
#(be_reasonable)|Option|#(be_reasonable)|#(NOT_REASONABLE)
|Prompt

#(WHO_BLASTS_WHO)|Display|#(WHO_BLASTS_WHO)
|Goto||Combat

#(NO_SURRENDER)|Display|#(NO_SURRENDER)
|Goto||Combat

#(NOT_REASONABLE)|Display|#(NOT_REASONABLE)
|Goto||Combat

Combat|Script|u.world.place().encounter.fight(u)
|Goto||Done

Done|DoNothing
|VariablesExport|u.world.player.variableLookup.set($key, $value)
|Quit

|Display|#(NEVER_ENOUGH)
|Display|#(OK_WARSHIP)
|Display|#(OK_DWE)
|Display|#(OK_YOUBOO)
|Display|#(OK_DILRAT)
|Display|#(BIG_FUN)
|Display|#(FAST_AS_CAN)
|Display|#(GLORIOUS_WORSHIP)
|Display|#(ON_WAY)
|Display|#(GODS_RETURN_1)
|Display|#(GODS_RETURN_2)
|Display|#(GODS_RETURN_3)
|Display|#(JUST_GRUNTS)
|Display|#(GRUNTS_AGAIN)
|Display|#(WHAT_ORDERS)
|Display|#(WE_WORSHIP_1)
|Display|#(WE_WORSHIP_2)
|Display|#(WE_WORSHIP_3)
|Display|#(SUBSEQUENT_CHMMR_HELLO)
|Display|#(INIT_CHMMR_HELLO)
|Display|#(OK_ENOUGH_ILWRATH)
|Display|#(OK_ENOUGH_GODS)
|Display|#(SUBSEQUENT_HOME_HELLO)
|Display|#(GENERAL_INFO)
|Display|#(GOODBYE_AND_DIE)
|Display|#(DECEIVERS)
|Display|#(NO_PEACE)
|Display|#(NO_ALLIANCE)
|Display|#(ILWRATH_BELIEVE)
|Display|#(OK_KILL_THRADDASH)
|Display|#(GOODBYE_GODS)
|Display|#(INIT_HELLO_SPACE)
|Display|#(SUBSEQUENT_HELLO_SPACE_1)
|Display|#(SUBSEQUENT_HELLO_SPACE_2)
|Display|#(SUBSEQUENT_HELLO_SPACE_3)
|Display|#(SUBSEQUENT_HELLO_SPACE_4)
|Display|#(GENERAL_INFO_SPACE_1)
|Display|#(GENERAL_INFO_SPACE_2)
|Display|#(GENERAL_INFO_SPACE_3)
|Display|#(GENERAL_INFO_SPACE_4)
|Display|#(GENERAL_INFO_SPACE_5)
|Display|#(STRENGTH_NOT_ALL)
|Display|#(NO_SLAY_BY_THOUSANDS)
|Display|#(NO_EASE_UP)
|Display|#(GOODBYE_AND_DIE_SPACE)
|Display|#(INIT_HOME_HELLO)
|Display|#(GOODBYE_AND_DIE_HOMEWORLD)
|Display|#(SO_MUCH_TO_KNOW)
|Display|#(LONG_AGO)
|Display|#(KILLED_GOOD_GODS)
|Display|#(CHANNEL_44)
|Display|#(BECAUSE_44)
|Display|#(WHAT_ABOUT_ILWRATH)
|Display|#(ABOUT_PHYSIO)
|Display|#(ABOUT_HISTORY)
|Display|#(ABOUT_CULTURE)
|Display|#(ABOUT_URQUAN)
|Display|#(URQUAN_TOO_NICE)
|Display|#(OF_COURSE_WERE_EVIL)
|Display|#(DONT_CONFUSE_US)
|Display|#(ON_WAY_TO_THRADDASH)
|Display|#(HAPPY_FIGHTING_THRADDASH)
|Display|#(say_warship)
|Display|#(say_dwe)
|Display|#(say_youboo)
|Display|#(say_dillrat)
|Display|#(enough_orders)
|Display|#(other_divine_orders)
|Display|#(worship_us)
|Display|#(bye_gods)
|Display|#(enough_ilwrath)
|Display|#(enough_gods)
|Display|#(whats_up)
|Display|#(bye)
|Display|#(want_peace)
|Display|#(want_alliance)
|Display|#(go_kill_thraddash)
|Display|#(whats_up_space_1)
|Display|#(whats_up_space_2)
|Display|#(whats_up_space_3)
|Display|#(whats_up_space_4)
|Display|#(whats_up_space_5)
|Display|#(you_are_weak)
|Display|#(slay_by_thousands)
|Display|#(ease_up)
|Display|#(bye_space)
|Display|#(bye_homeworld)
|Display|#(want_info_on_gods)
|Display|#(when_start_worship)
|Display|#(any_good_gods)
|Display|#(how_talk_with_gods)
|Display|#(why_44)
|Display|#(want_info_on_ilwrath)
|Display|#(what_about_physio)
|Display|#(what_about_history)
|Display|#(what_about_culture)
|Display|#(what_about_urquan)
|Display|#(are_you_evil)
|Display|#(but_evil_is_defined)

